reactor_id,timestamp,temperature,pressure,reaction_rate,cooling_efficiency,temp_rate_of_change,label,temp_rolling_avg,pressure_rolling_avg,temp_acceleration,pressure_temp_ratio,cooling_danger
A,0,119.37,3.49,0.56,0.92,0.235,SAFE,119.37,3.49,0.0,0.0292,9.55
A,1,118.95,3.48,0.39,0.85,0.003,SAFE,119.16,3.49,-0.232,0.0293,17.84
A,2,118.48,3.45,0.54,0.9,-0.168,SAFE,118.93,3.47,-0.171,0.0291,11.85
A,3,118.57,3.48,0.38,0.94,0.119,SAFE,118.84,3.48,0.287,0.0293,7.11
A,4,118.41,3.45,0.61,0.87,-0.244,SAFE,118.76,3.47,-0.363,0.0291,15.39
A,5,118.01,3.48,0.52,0.94,0.138,SAFE,118.48,3.47,0.382,0.0295,7.08
A,6,118.04,3.53,0.47,0.9,0.198,SAFE,118.3,3.48,0.06,0.0299,11.8
A,7,118.16,3.57,0.52,0.93,-0.273,SAFE,118.24,3.5,-0.471,0.0302,8.27
A,8,117.89,3.55,0.4,0.85,-0.239,SAFE,118.1,3.52,0.034,0.0301,17.68
A,9,117.67,3.56,0.47,0.88,-0.174,SAFE,117.95,3.54,0.065,0.0303,14.12
A,10,117.43,3.6,0.54,0.91,-0.197,SAFE,117.84,3.56,-0.023,0.0307,10.57
A,11,117.66,3.57,0.47,0.97,0.084,SAFE,117.76,3.57,0.281,0.0303,3.53
A,12,117.72,3.59,0.58,0.94,-0.163,SAFE,117.67,3.57,-0.247,0.0305,7.06
A,13,117.25,3.57,0.44,0.85,0.266,SAFE,117.55,3.58,0.429,0.0304,17.59
A,14,117.63,3.55,0.54,0.88,0.249,SAFE,117.54,3.58,-0.017,0.0302,14.12
A,15,117.59,3.53,0.44,0.9,-0.142,SAFE,117.57,3.56,-0.391,0.03,11.76
A,16,117.67,3.57,0.48,0.85,0.299,SAFE,117.57,3.56,0.441,0.0303,17.65
A,17,117.68,3.53,0.39,0.84,0.076,SAFE,117.56,3.55,-0.223,0.03,18.83
A,18,117.97,3.52,0.4,0.88,0.298,SAFE,117.71,3.54,0.222,0.0298,14.16
A,19,118.0,3.57,0.59,0.82,0.132,SAFE,117.78,3.54,-0.166,0.0303,21.24
A,20,118.18,3.57,0.44,0.92,-0.233,SAFE,117.9,3.55,-0.365,0.0302,9.45
A,21,118.12,3.56,0.61,0.95,-0.142,SAFE,117.99,3.55,0.091,0.0301,5.91
A,22,118.12,3.53,0.6,0.95,-0.121,SAFE,118.08,3.55,0.021,0.0299,5.91
A,23,118.26,3.54,0.42,0.93,0.024,SAFE,118.14,3.55,0.145,0.0299,8.28
A,24,118.54,3.55,0.38,0.87,-0.288,SAFE,118.24,3.55,-0.312,0.0299,15.41
